exp,compression_ratio,rank,steady_state_relative_loss
AltConvPro,0.1,2,0.4712003195621209
AltConvPro,0.2,5,0.39820389774918274
AltConvPro,0.3,7,0.3621346081097398
AltConvPro,0.4,9,0.323382183264001
AltConvPro,0.5,12,0.2785836062319051
AltConvPro,0.6,14,0.25345775106882196
AltConvPro,0.7,16,0.22007218440205142
AltConvPro,0.8,18,0.20160672135277044
AltConvPro,0.9,21,0.15059099514366922
AltIRLS,0.1,2,1.095618492422585
AltIRLS,0.2,5,1.0943980080094189
AltIRLS,0.3,7,0.7459663820508915
AltIRLS,0.4,9,0.6694552442993763
AltIRLS,0.5,12,0.4608996678321346
AltIRLS,0.6,14,0.38752554526085775
AltIRLS,0.7,16,0.33299321183199315
AltIRLS,0.8,18,0.27887150353886936
AltIRLS,0.9,21,0.20152872078023196